PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
533976,1,59,64,3,6,5,7,75,63.3,666,0,1500,1000,4,6.5,
533976,2,63,NA,3,4,4,8,80,58.3,1000,0,1000,750,3.5,6,
533979,1,52,48,3,5,3,6,105,101.7,341,0,1033,1500,3,5.5,
533979,2,52,52,3,8,2,4,100,100,533,0,58,800,2.5,6,
533980,1,56,55,4,5,5,7,105,63.3,1167,8,1500,1500,4.5,6,
533980,2,54,62,4,7,7,8,75,70,1500,0,1333,1250,5.5,7.5,
533985,1,61,62,3,6,3,6,90,100,1167,0,500,250,3,6,
533985,2,63,78,3,5,2,5,100,90,1500,8,74,500,2.5,5,
533986,1,52,55,2,5,5,6,90,80,1166,8,1333,1250,3.5,5.5,
533986,2,54,64,3,3,2,6,80,83.3,517,183,33,1500,2.5,4.5,
533987,1,45,41,3,8,8,8,105,100,349,0,833,74,5.5,8,
533987,2,45,48,3,5,5,6,80,86.7,41,50,1000,750,4,5.5,
533989,1,59,NA,4,7,NA,NA,100,NA,833,166,NA,NA,4,7,
533989,2,59,NA,4,6,NA,NA,100,NA,1500,333,NA,NA,4,6,
533991,1,63,59,1,3,6,7,100,81.7,499,499,1033,1250,3.5,5,
533991,2,61,52,3,4,6,7,105,96.7,1166,349,1166,1500,4.5,5.5,
533996,1,52,48,3,7,4,7,80,85,349,8,1167,1000,3.5,7,
533996,2,49,48,3,5,3,4,85,90,25,533,199,1000,3,4.5,
533998,1,47,55,2,7,6,8,70,71.7,216,0,1500,1500,4,7.5,
533998,2,54,49,4,8,7,7,60,76.7,833,0,1333,1500,5.5,7.5,
534021,1,63,NA,2,4,3,5,80,56.7,833,17,1000,1250,2.5,4.5,
534021,2,63,59,4,3,7,7,70,68.3,1008,25,1000,1250,5.5,5,
534028,1,59,69,3,8,3,7,70,118.3,349,0,1500,499,3,7.5,
534028,2,NA,62,3,4,3,6,80,62.5,833,16,66,1500,3,5,
534046,1,54,45,2,7,8,8,75,73.3,675,0,1167,525,5,7.5,
534046,2,66,48,3,5,9,8,65,76.7,1000,0,1500,1500,6,6.5,
534047,1,42,45,3,8,5,7,105,100,499,0,1500,1500,4,7.5,
534047,2,42,42,3,9,8,8,95,93.3,25,0,1500,1500,5.5,8.5,
534070,1,49,45,2,7,3,7,120,90,366,0,1000,750,2.5,7,
534070,2,45,NA,2,6,NA,NA,105,NA,66,49,NA,NA,2,6,
534079,1,45,43,3,9,7,8,85,91.7,341,0,1167,74,5,8.5,
534079,2,45,48,5,8,7,7,130,108.3,33,25,1500,1500,6,7.5,
534096,1,42,42,5,9,8,8,90,90,833,8,1333,499,6.5,8.5,
534096,2,42,76,7,9,8,8,110,88.3,1033,25,1500,1500,7.5,8.5,
534099,1,59,64,3,8,8,8,80,80,499,0,1500,499,5.5,8,
534099,2,61,69,3,5,2,6,80,81.7,1000,0,74,1500,2.5,5.5,
534101,1,59,58,3,7,7,8,110,78.3,1166,0,1000,1000,5,7.5,
534101,2,59,NA,3,5,6,7,100,61.7,666,0,1500,1500,4.5,6,
534104,1,59,55,3,7,7,8,90,85,199,166,1167,1250,5,7.5,
534104,2,59,66,2,5,3,7,95,68.3,191,8,99,1250,2.5,6,
534105,1,52,57,3,5,6,8,80,68.3,366,0,1333,1500,4.5,6.5,
534105,2,49,48,5,5,5,5,90,80,33,50,700,1250,5,5,
534108,1,56,57,2,7,3,6,100,95,375,41,683,1500,2.5,6.5,
534108,2,66,69,4,6,1,3,95,105,1167,17,37,1500,2.5,4.5,
534112,1,61,55,4,6,4,7,70,125,1167,0,1000,750,4,6.5,
534112,2,66,70,3,6,2,3,90,135,675,25,41,750,2.5,4.5,
534115,1,56,62,2,3,2,3,75,81.7,41,8,82,1000,2,3,
534115,2,61,57,1,4,3,4,95,83.3,33,342,232,750,2,4,
534117,1,49,48,3,8,6,8,85,85,349,0,1167,750,4.5,8,
534117,2,49,49,3,7,5,6,95,88.3,33,41,232,499,4,6.5,
534133,1,59,69,3,6,6,7,85,85,1000,0,1333,1000,4.5,6.5,
534133,2,59,59,2,4,4,6,115,85,366,1016,833,1250,3,5,
534137,1,56,NA,5,8,NA,NA,125,NA,1500,0,NA,NA,5,8,
