2019 Field,Rep ,2019 Entry,Pedigree,PI Number
2862,2,1796,SC 1416,656077
2863,2,1735,Tx 378 ,655991
2864,2,1642,Matchikah,534138
2865,2,1808,SC 295,656093
2866,2,1581,AS4616 Balangira-Mwanza,533822
2867,2,1764,CE260-12-1-1,656032
2868,2,1683,Mashica,576428
2869,2,1660,Della,566819
2870,2,1590,KA 12 Janjari,533876
2871,2,1677,K.1 lrungu cholam,576391
2872,2,1611,"Safara, Kordanfan",533964
2873,2,1774,Kuyuma,656044
2874,2,1576,SAP-404,533799
2875,2,1656,BTx623,564163
2876,2,1692,SAP-133,595740
2877,2,1556,Feterita geshaish,152651
2878,2,1719,Rio,651496
2879,2,1748,RTx2536,656010
2880,2,1758,Shan Qui Red,656025
2881,2,1649,San Chi San,542718
2882,2,1580,As4660 Kikuma,533821
2883,2,1770,K886,656040
2884,2,1643,"R1, 21",534148
2885,2,1780,N250B,656052
2886,2,1787,QL3-Texas,656060
2887,2,1703,SAP-158,597966
2888,2,1762,58M,656030
2889,2,1562,54.K.94 (Witchweed res.),533752
2890,2,1604,AS 4055 N Kambwa,533939
2891,2,1679,SAP-147,576418
2892,2,1841,IS 3796,644294
2893,2,1579,Karad 2-7-11,533810
2894,2,1639,Mashica,534117
2895,2,1673,Mashica,576381
2896,2,1697,SAP-323,597952
2897,2,1773,KAT83369,656043
2898,2,1597,Mendo,533912
2899,2,1662,ICSV - 745,576130
2900,2,1564,Monshal,533757
2901,2,1826,Tortillerio,659694
2902,2,1681,SAP-150,576425
2903,2,1713,BTx2928,629059
2904,2,1825,Greenleaf,659692
2905,2,1651,A/BTx626,552856
2906,2,1610,Malwal Aweil,533962
2907,2,1726,Tx2737,655978
2908,2,1806,SC 1489,656089
2909,2,1693,SAP-134,595741
2910,2,1622,Sinidyil 177,533991
2911,2,1661,BT-638,574455
2912,2,1598,Nyan Dok,533913
2913,2,1810,SC 391,656096
2914,2,1637,EC 21463 STR 5/1,534112
2915,2,1739,KS19,655998
2916,2,1670,SAP-124,576375
2917,2,1708,ICSV 400,601816
2918,2,1781,N290B,656053
2919,2,1584,Deburr,533831
2920,2,1840,KS 97,607900
2921,2,1700,SAP-138,597961
2922,2,1768,IS 8525(j),656038
2923,2,1561,K.3 Perimanjial Irungu Cholam,533750
2924,2,1685,Lula,576435
2925,2,1775,Lian Tan Ai,656046
2926,2,1653,A/BTxARG-1,561072
2927,2,1680,SAP-141,576422
2928,2,1729,Chiltex ,655984
2929,2,1761,Town,656028
2930,2,1803,SC 1471,656086
2931,2,1664,SAP-294,576345
2932,2,1712,Tx2917,629040
2933,2,1827,IS 12623C,659695
2934,2,1617,SAP-275,533980
2935,2,1607,P 3749 Q2/5/62,533955
2936,2,1717,Standard Early Hegari,642992
2937,2,1743,RTX435,656004
2938,2,1608,MN 586 (preconverted),533956
2939,2,1671,SAP-125,576376
2940,2,1779,MR732,656051
2941,2,1731,Caprock,655986
2942,2,1647,F. R. Miller,534167
2943,2,1612,SAP-148,533965
2944,2,1574,No. 1 Gambela,533792
2945,2,1800,SC 145,656082
2946,2,1750,94Q63,656013
2947,2,1621,Nyithin,533989
2948,2,1605,AS 2613 NT Nebraska 6350,533948
2949,2,1591,KA 21 Gajerar Kaura,533878
2950,2,1823,SC 332,656118
2951,2,1578,SAP-206,533807
2952,2,1777,Malisor 84-7,656048
2953,2,1835,Swarna,Grif 578
2954,2,1793,SC 1047,656072
