"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI534079.C57CTACXX.8.11798",1.67,1,2.015103124,0.81,0.95,2.88,2.23,8.8,0.37,0.22,0.13
"PI534096.C57CTACXX.2.2664",1.71,0,1.9786141,0.9,0.98,3.07,2.64,9,0.29,0.19,0.09
"PI534099.C57CTACXX.3.3773",1.81,1,1.91070763,0.7,0.89,2.87,2.64,8.6,0.49,0.33,0.15
"PI534101.C57CTACXX.3.3651",1.77,0,1.938040263,0.76,0.89,3.04,2.79,9,0.47,0.27,0.16
"PI534104.C57CTACXX.3.3627",1.78,2,1.930445489,0.68,0.89,2.5,2.83,8.2,0.53,0.29,0.14
"PI534105.C57CTACXX.2.2988",1.72,2,1.904894249,0.76,0.83,2.75,2.84,8.4,0.5,0.31,0.16
"PI534108.C57CTACXX.2.2729",1.8,0,1.998808839,0.54,0.81,2.75,2.88,9,0.61,0.41,0.23
"PI534112.C57CTACXX.8.11587",1.81,0,2.011210583,0.63,0.81,2.8,2.58,9,0.29,0.17,0.12
"PI534115.C57CTACXX.3.4516",1.78,2,1.926614444,0.48,0.65,1.96,2.72,7.8,0.53,0.3,0.17
"PI534117.C57CTACXX.8.11444",1.7,0,1.950609668,0.72,0.92,2.5,2.5,9,0.44,0.25,0.12
"PI534133.C57CTACXX.4.4863",1.8,0,1.966988336,0.68,0.83,2.92,2.88,9,0.63,0.37,0.2
"PI534137.C57CTACXX.8.11813",1.75,0,2.082414267,0.85,0.9,3.18,0.81,8.9,0.27,0.13,0.1
"PI534138.MERGE",1.67,0,2.043485876,0.76,0.89,2.96,2.64,8.7,0.48,0.27,0.22
"PI534148.C57CTACXX.4.4786",1.88,1,2.020457683,0.57,0.72,2.72,2.75,8.4,0.63,0.41,0.27
"PI534155.C57CTACXX.8.11382",1.79,0,1.941793277,0.63,0.85,2.94,2.88,8.8,0.53,0.33,0.16
"PI534157.C57CTACXX.8.11481",1.81,1,2.009371048,0.57,0.72,2.68,2.65,8.2,0.62,0.41,0.3
"PI534163.C57CTACXX.8.11281",1.82,1,1.940634187,0.54,0.65,2.65,2.64,8.4,0.69,0.41,0.21
"PI534167.MERGE",1.74,1,1.916159798,0.74,0.9,2.98,2.79,8.5,0.34,0.24,0.11
"PI535783.C57CTACXX.5.6428",1.81,2,2.28769928,0.51,0.8,2.4,2.91,8.7,0.52,0.31,0.16
"PI535794.C57CTACXX.5.7062",1.75,3,2.088315385,0.81,0.86,3.08,2.73,8.5,0.47,0.26,0.11
"PI542406.C57CTACXX.9.12657",1.87,2,2.164792013,0.74,0.8,2.88,2.54,8.3,0.6,0.31,0.19
"PI542718.MERGE",1.71,5,2.12176673,0.65,0.83,2.84,2.06,6.8,0.37,0.19,0.1
"PI548797.C57CTACXX.2.1781",1.8,0,1.981687751,0.68,0.8,2.93,2.58,9,0.56,0.29,0.17
"PI552856.MERGE",1.8,1,2.036794353,0.51,0.68,1.99,2.4,8.8,0.61,0.35,0.28
