Taxa	Log_D1_2019&2020AC	Log_D2_2019&2020AC
PI655984.C57CTACXX.2.2317	2.94	2.7
PI655985.C57CTACXX.1.1472	2.7	2.6
PI655986.C57CTACXX.2.2316	3.07	2.84
PI655987.C57CTACXX.8.11105	2.98	2.8
PI655988.C57CTACXX.2.1752	2.58	2.59
PI655989.C57CTACXX.2.1788	2.83	2.82
PI655991.C57CTACXX.2.1609	2.94	2.8
PI655992.C57CTACXX.2.1664	2.93	2.88
PI655995.C57CTACXX.2.1924	2.98	2.79
PI655997.C57CTACXX.2.2206	3.05	2.7
PI655998.C57CTACXX.8.12268	2.98	2.88
PI656001.C57CTACXX.2.2394	NaN	NaN
PI656002.C57CTACXX.9.12342	2.86	2.75
PI656003.C57CTACXX.2.2116	2.96	2.64
PI656004.C57CTACXX.4.5246	2.73	2.49
PI656006.MERGE	2.84	1.82
PI656007.C57CTACXX.9.12445	2.79	2.64
PI656008.C57CTACXX.9.12369	2.95	2.88
PI656009.MERGE	2.79	2.07
PI656010.C57CTACXX.2.2309	3.01	1.36
PI656011.C57CTACXX.2.1648	3.12	2.79
PI656013.C57CTACXX.1.1483	2.89	2.77
PI656014.C57CTACXX.2.1789	3	1.35
PI656015.MERGE	2.92	2.4
PI656016.C57CTACXX.1.1519	2.88	2.73
PI656018.C57CTACXX.2.1980	3	2.66
PI656019.C57CTACXX.2.2173	3.07	2.6
PI656022.C57CTACXX.1.1481	2.96	0
PI656024.C57CTACXX.3.4395	3.05	2.87
PI656025.MERGE	2.52	2.53
PI656026.MERGE	2.51	2.89
PI656027.C57CTACXX.2.1740	2.61	2.92
PI656028.C57CTACXX.1.1512	2.96	2.73
PI656030.C57CTACXX.2.2338	2.95	2.71
PI656031.C57CTACXX.2.1728	2.61	2.8
PI656032.C57CTACXX.2.2080	3.05	2.94
PI656033.C57CTACXX.2.1884	2.59	1.53
PI656034.C57CTACXX.2.1574	2.94	2.85
PI656037.C57CTACXX.2.1754	3.02	2.65
PI656038.C57CTACXX.2.2010	3.01	2.42
PI656039.C57CTACXX.9.12712	2.96	2.88
PI656040.C57CTACXX.9.12476	2.56	2.95
PI656041.C57CTACXX.2.2028	2.88	1.59
PI656042.MERGE	2.81	2.9
PI656043.C57CTACXX.2.2385	2.42	3.06
PI656044.MERGE	2.88	2.8
PI656046.C57CTACXX.2.1860	2.55	2.49
PI656047.C57CTACXX.2.1954	2.03	2.92
PI656048.C57CTACXX.8.11513	2.57	2.87
PI656049.C57CTACXX.2.2341	2.83	2.88
PI656051.C57CTACXX.2.1569	2.74	2.66
PI656052.C57CTACXX.2.2320	3.05	2.65
PI656053.C57CTACXX.1.1434	2.89	2.71
PI656054.C57CTACXX.9.12304	2.71	2.56
PI656055.C57CTACXX.2.1941	2.73	2.73
PI656056.MERGE	2.48	2.84
PI656057.MERGE	2.84	2.82
PI656058.C57CTACXX.2.2294	2.91	2.79
PI656060.C57CTACXX.9.12375	2.98	2.79
PI656065.MERGE	2.93	2.32
PI656068.C57CTACXX.2.2388	2.55	2.74
PI656069.C57CTACXX.2.2214	2.71	2.71
PI656070.MERGE	2.68	1.27
PI656071.C57CTACXX.4.5310	2.75	2.79
PI656072.C57CTACXX.3.3400	2.58	2.29
PI656075.C57CTACXX.3.3699	2.98	2.88
PI656076.C57CTACXX.4.4659	2.79	2.83
PI656077.C57CTACXX.3.3756	3.06	2.88
PI656079.C57CTACXX.3.3494	3.01	2.85
PI656080.C57CTACXX.2.1981	3.08	2.84
PI656081.C57CTACXX.2.2143	2.46	2.45
PI656082.C57CTACXX.4.4615	3.11	2.65
PI656083.C57CTACXX.2.2001	2.23	1.4
PI656085.C57CTACXX.4.5437	2.96	2.79
PI656086.C57CTACXX.2.2208	2.91	2.72
PI656087.C57CTACXX.2.2368	2.57	2.72
PI656088.C57CTACXX.1.1468	3.08	2.75
PI656089.C57CTACXX.2.1643	2.9	2.83
PI656091.C57CTACXX.8.11637	2.89	2.49
PI656093.C57CTACXX.8.11748	2.44	2.79
PI656095.C57CTACXX.8.11158	2.88	2.88
PI656096.C57CTACXX.8.11044	2.33	1.4
PI656097.C57CTACXX.3.4276	2.71	2.76
PI656099.C57CTACXX.8.11629	2.74	2.87
