Taxa	FLoweringtime
PI656082.C57CTACXX.4.4615	1.79
PI656083.C57CTACXX.2.2001	1.73
PI656085.C57CTACXX.4.5437	1.74
PI656086.C57CTACXX.2.2208	1.74
PI656087.C57CTACXX.2.2368	1.68
PI656088.C57CTACXX.1.1468	1.78
PI656089.C57CTACXX.2.1643	1.7
PI656091.C57CTACXX.8.11637	1.85
PI656093.C57CTACXX.8.11748	1.77
PI656095.C57CTACXX.8.11158	1.73
PI656096.C57CTACXX.8.11044	1.72
PI656097.C57CTACXX.3.4276	1.87
PI656099.C57CTACXX.8.11629	1.86
PI656100.C57CTACXX.8.11624	1.8
PI656104.C57CTACXX.2.2893	1.69
PI656105.C57CTACXX.3.3697	1.73
PI656106.C57CTACXX.3.3129	1.81
PI656108.C57CTACXX.3.3095	1.69
PI656109.C57CTACXX.8.12203	1.66
PI656110.C57CTACXX.8.11659	1.75
PI656111.MERGE	1.75
PI656115.MERGE	1.72
PI656116.C57CTACXX.4.4742	1.62
PI656118.C57CTACXX.3.4266	1.76
PI656121.MERGE	1.69
PI659692.C57CTACXX.3.4166	1.79
PI659695.C57CTACXX.4.5411	1.75
PI659753.C57CTACXX.3.4411	1.88
SAP_Grif578	1.86
SAP_PI264453	1.87
SAP_PI533934	1.76
SAP_PI550607	1.77
SAP_PI607900	1.78
SAP_PI644294	1.78
SAP_PI675167	1.81
