Taxa	nSpad
PI656075.C57CTACXX.3.3699	2
PI656076.C57CTACXX.4.4659	5
PI656077.C57CTACXX.3.3756	7
PI656079.C57CTACXX.3.3494	4
PI656080.C57CTACXX.2.1981	0
PI656081.C57CTACXX.2.2143	6
PI656082.C57CTACXX.4.4615	2
PI656083.C57CTACXX.2.2001	4
PI656085.C57CTACXX.4.5437	5
PI656086.C57CTACXX.2.2208	8
PI656087.C57CTACXX.2.2368	5
PI656088.C57CTACXX.1.1468	4
PI656089.C57CTACXX.2.1643	6
PI656091.C57CTACXX.8.11637	6
PI656093.C57CTACXX.8.11748	1
PI656095.C57CTACXX.8.11158	4
PI656096.C57CTACXX.8.11044	4
PI656097.C57CTACXX.3.4276	5
PI656099.C57CTACXX.8.11629	1
PI656100.C57CTACXX.8.11624	5
PI656104.C57CTACXX.2.2893	2
PI656105.C57CTACXX.3.3697	3
PI656106.C57CTACXX.3.3129	5
PI656108.C57CTACXX.3.3095	9
PI656109.C57CTACXX.8.12203	10
PI656110.C57CTACXX.8.11659	8
PI656111.MERGE	0
PI656115.MERGE	0
PI656116.C57CTACXX.4.4742	0
PI656118.C57CTACXX.3.4266	1
PI656121.MERGE	3
PI659692.C57CTACXX.3.4166	NA
PI659695.C57CTACXX.4.5411	0
PI659753.C57CTACXX.3.4411	5
SAP_Grif578	NA
SAP_PI264453	4
SAP_PI533934	4
SAP_PI550607	1
SAP_PI607900	1
SAP_PI644294	3
SAP_PI675167	1
